Date,Contract,Price,Position,New Trade Action,Pnl Daily
02/01/2018,MAR 18,30524.37,7,0,8085.28
03/01/2018,MAR 18,30387.71,7,2,9373.98
04/01/2018,MAR 18,30337.09,9,0,12716.73
05/01/2018,MAR 18,30463.63,9,0,12994.92
08/01/2018,MAR 18,30502.1,9,0,12866.76
09/01/2018,MAR 18,30443.39,9,0,12804.66
10/01/2018,MAR 18,30559.8,9,0,13446.54
11/01/2018,MAR 18,30721.77,9,0,13296.87
12/01/2018,MAR 18,30772.38,9,0,12523.5
15/01/2018,MAR 18,30797.69,9,0,15883.74
16/01/2018,APR 18,30959.54,9,0,17152.29
17/01/2018,APR 18,30974.84,9,0,18922.14
18/01/2018,APR 18,30909.04,9,-5,22275.81
19/01/2018,APR 18,31081.13,4,-1,8065.44
22/01/2018,APR 18,31227.92,3,0,5775.24
23/01/2018,APR 18,31192.49,3,5,5018.58
24/01/2018,APR 18,31587.28,8,0,11354.96
25/01/2018,APR 18,31880.85,8,0,12236.16
26/01/2018,APR 18,32098.5,8,0,8920.48
29/01/2018,APR 18,32434.58,8,1,5222.48
30/01/2018,APR 18,32128.86,9,0,6037.92
31/01/2018,APR 18,32184.54,9,0,2766.24
01/02/2018,APR 18,31901.1,9,-5,5953.05
02/02/2018,APR 18,32042.82,4,-1,3714
05/02/2018,APR 18,32437.62,3,0,1767.66
06/02/2018,APR 18,32240.22,3,5,2420.4
07/02/2018,APR 18,32123.8,8,0,8839.2
08/02/2018,APR 18,31835.3,8,0,9532.32
09/02/2018,APR 18,31531.61,8,0,10387.28
12/02/2018,APR 18,31602.47,8,0,11879.36
13/02/2018,APR 18,32012.45,8,0,8203.92
14/02/2018,APR 18,32063.07,8,0,8436.8
15/02/2018,APR 18,32083.31,8,0,7879.28
16/02/2018,APR 18,32265.53,8,0,7422.72
19/02/2018,APR 18,32068.13,8,0,7467.76
20/02/2018,MAY 18,31870.73,8,0,10015.92
21/02/2018,MAY 18,32128.86,8,0,6497.44
22/02/2018,MAY 18,32079.26,8,0,7459.52
23/02/2018,MAY 18,32159.23,8,0,5850.8
26/02/2018,MAY 18,32109.63,8,0,5803.52
27/02/2018,MAY 18,32240.22,8,0,6228.32
28/02/2018,MAY 18,32042.82,8,0,6580.24
01/03/2018,MAY 18,32171.38,8,0,5309.52
02/03/2018,MAY 18,31989.17,8,0,4990.8
05/03/2018,MAY 18,32063.07,8,0,4415.76
06/03/2018,MAY 18,31939.56,8,0,4378.4
07/03/2018,MAY 18,31883.89,8,0,4621.84
08/03/2018,MAY 18,32054.97,8,0,1436.48
09/03/2018,MAY 18,31906.16,8,0,2458
12/03/2018,MAY 18,31875.79,8,0,4605.92
13/03/2018,MAY 18,31658.15,8,0,5176.24
14/03/2018,MAY 18,31650.05,8,0,4635.44
15/03/2018,MAY 18,31524.52,8,0,6366.4
16/03/2018,MAY 18,31500.23,8,0,6681.84
19/03/2018,MAY 18,31273.47,8,0,8617.04
20/03/2018,JUN 18,31057.06,8,0,12043.92
21/03/2018,JUN 18,31486.05,8,0,9379.12
22/03/2018,JUN 18,31339.27,8,0,8114.88
23/03/2018,JUN 18,31263.35,8,0,9933.36
26/03/2018,JUN 18,31351.42,8,0,9285.36
27/03/2018,JUN 18,31366.6,8,0,10173.2
28/03/2018,JUN 18,31381.79,8,0,7588.96
29/03/2018,JUN 18,31594.37,8,0,6897.68
