Date,Contract,Price,Position,New Trade Action,Pnl Daily
02/01/2018,MAR 18,31495.72,1,0,15183.69
03/01/2018,MAR 18,31346.34,1,1,15380.51
04/01/2018,MAR 18,31295.87,2,0,30908.38
05/01/2018,MAR 18,31432.13,2,0,30950.76
08/01/2018,MAR 18,31444.24,2,0,30975
09/01/2018,MAR 18,31396.81,2,-3,30938.64
10/01/2018,MAR 18,31512.88,-1,2,-15540.98
11/01/2018,MAR 18,31679.41,1,0,15519.79
12/01/2018,MAR 18,31726.85,1,1,15437.03
15/01/2018,MAR 18,31750.06,2,0,31624.98
16/01/2018,APR 18,31907.51,2,0,31915.68
17/01/2018,APR 18,31931.74,2,0,32291.12
18/01/2018,APR 18,31866.13,2,0,33036
19/01/2018,APR 18,32053.86,2,0,32087.26
22/01/2018,APR 18,32199.2,2,0,31907.6
23/01/2018,APR 18,32163.88,2,0,31402.94
24/01/2018,APR 18,32562.55,2,0,30888.2
25/01/2018,APR 18,32865.35,2,0,31090.04
26/01/2018,APR 18,33077.3,2,0,30272.52
29/01/2018,APR 18,33384.13,2,-3,29406.52
30/01/2018,APR 18,33097.49,-1,0,-14702.25
31/01/2018,APR 18,33153,-1,0,-14338.9
01/02/2018,APR 18,32865.35,-1,-1,-14697.2
02/02/2018,APR 18,33006.65,-2,-1,-29929.34
05/02/2018,APR 18,33410.37,-3,0,-43849.41
06/02/2018,APR 18,33213.56,-3,0,-44500.38
07/02/2018,APR 18,33087.39,-3,0,-45423.93
08/02/2018,APR 18,32799.74,-3,4,-45681.3
09/02/2018,APR 18,32491.9,1,0,15338.12
12/02/2018,APR 18,32562.55,1,2,15524.84
13/02/2018,APR 18,32971.32,3,0,45199.86
14/02/2018,APR 18,33026.84,3,0,45272.49
15/02/2018,APR 18,33047.02,3,0,45063.6
16/02/2018,APR 18,33228.7,3,0,44894.01
19/02/2018,APR 18,33026.84,3,0,44924.28
20/02/2018,MAY 18,32830.02,3,0,45878.1
21/02/2018,MAY 18,33087.39,3,0,44560.95
22/02/2018,MAY 18,33037.94,3,0,44921.28
23/02/2018,MAY 18,33117.67,3,0,44318.73
26/02/2018,MAY 18,33068.22,3,0,44300.55
27/02/2018,MAY 18,33193.37,3,0,44476.17
28/02/2018,MAY 18,33001.6,3,0,44591.25
01/03/2018,MAY 18,33122.72,3,-1,44137.05
02/03/2018,MAY 18,32941.04,2,0,29343.96
05/03/2018,MAY 18,33011.7,2,0,29206.68
06/03/2018,MAY 18,32890.58,2,0,29192.56
07/03/2018,MAY 18,32835.07,2,0,29253.1
08/03/2018,MAY 18,33018.76,2,0,28431.54
09/03/2018,MAY 18,32865.35,2,0,28696.12
12/03/2018,MAY 18,32835.07,2,0,29232.92
13/03/2018,MAY 18,32613.02,2,0,29384.32
14/03/2018,MAY 18,32615.04,2,0,29228.88
15/03/2018,MAY 18,32486.86,2,0,29666.92
16/03/2018,MAY 18,32461.62,2,0,29747.68
19/03/2018,MAY 18,32234.53,2,0,30232.14
20/03/2018,JUN 18,32213.41,2,0,30698.28
21/03/2018,JUN 18,32451.53,2,0,30413.82
22/03/2018,JUN 18,32305.18,2,0,30096.9
23/03/2018,JUN 18,32229.48,2,0,30551.08
26/03/2018,JUN 18,32320.32,2,0,30383.54
27/03/2018,JUN 18,32335.46,2,0,30605.58
28/03/2018,JUN 18,32350.6,2,0,29959.62
29/03/2018,JUN 18,32562.55,2,0,29788.06
03/04/2018,JUN 18,32658.44,2,0,29396.44
04/04/2018,JUN 18,32353.63,2,0,30306.82
05/04/2018,JUN 18,32505.02,2,0,29953.58
06/04/2018,JUN 18,32512.09,2,0,30817.54
09/04/2018,JUN 18,32638.25,2,0,30565.22
10/04/2018,JUN 18,32330.41,2,0,31170.8
11/04/2018,JUN 18,32456.58,2,0,31513.96
12/04/2018,JUN 18,32356.66,2,0,30331.04
13/04/2018,JUN 18,32507.04,2,0,30131.22
16/04/2018,JUN 18,32481.81,2,0,30484.46
17/04/2018,JUL 18,32920.86,2,0,29909.16
18/04/2018,JUL 18,32920.86,2,0,28899.86
19/04/2018,JUL 18,32915.81,2,0,29465.08
20/04/2018,JUL 18,33213.56,2,0,28940.22
23/04/2018,JUL 18,32522.18,2,0,30070.66
24/04/2018,JUL 18,32572.65,2,-1,30322.98
25/04/2018,JUL 18,32724.04,1,-2,14988.9
26/04/2018,JUL 18,32875.44,-1,-1,-14520.58
27/04/2018,JUL 18,32370.79,-2,3,-30403.72
30/04/2018,JUL 18,32648.35,1,-2,14621.51
01/05/2018,JUL 18,32683.67,-1,-1,-14742.63
02/05/2018,JUL 18,32557.51,-2,0,-29693.16
03/05/2018,JUL 18,32734.14,-2,0,-29162.26
04/05/2018,JUL 18,32712.94,-2,0,-28911.96
08/05/2018,JUL 18,32396.02,-2,0,-29404.5
09/05/2018,JUL 18,32572.65,-2,0,-29323.76
10/05/2018,JUL 18,32269.86,-2,0,-29767.86
11/05/2018,JUL 18,32426.3,-2,0,-29101.72
14/05/2018,JUL 18,32404.09,-2,0,-29337.9
15/05/2018,AUG 18,32315.27,-2,0,-29101.72
16/05/2018,AUG 18,32168.92,-2,0,-28839.3
17/05/2018,AUG 18,32098.27,-2,0,-29555.92
18/05/2018,AUG 18,32234.53,-2,0,-29566
21/05/2018,AUG 18,32153.79,-2,0,-29777.94
22/05/2018,AUG 18,31977.16,-2,0,-30444.08
23/05/2018,AUG 18,32073.04,-2,0,-29899.08
24/05/2018,AUG 18,31866.13,-2,0,-30464.28
25/05/2018,AUG 18,31588.57,-2,0,-31685.54
29/05/2018,AUG 18,31876.23,-2,0,-31826.84
30/05/2018,AUG 18,32017.53,-2,0,-31342.38
31/05/2018,AUG 18,32042.76,-2,0,-31190.98
01/06/2018,AUG 18,32199.2,-2,0,-30777.18
04/06/2018,AUG 18,32022.58,-2,0,-30635.86
05/06/2018,AUG 18,32098.27,-2,1,-30494.56
06/06/2018,AUG 18,32431.34,-1,0,-14833.47
07/06/2018,AUG 18,32789.65,-1,0,-14180.44
08/06/2018,AUG 18,32688.72,-1,0,-14121.9
11/06/2018,AUG 18,32638.25,-1,1,-14462.04
12/06/2018,AUG 18,32587.79,0,0,0
13/06/2018,AUG 18,32340.51,0,0,0
14/06/2018,AUG 18,32345.55,0,0,0
15/06/2018,AUG 18,32264.81,0,0,0
18/06/2018,AUG 18,31970.09,0,0,0
19/06/2018,SEP 18,31810.62,0,0,0
20/06/2018,SEP 18,32100.29,0,0,0
21/06/2018,SEP 18,31956.97,0,0,0
22/06/2018,SEP 18,31850.99,0,0,0
25/06/2018,SEP 18,31568.39,0,1,0
26/06/2018,SEP 18,31548.2,1,-2,14321.75
27/06/2018,SEP 18,31300.92,-1,0,-14474.15
28/06/2018,SEP 18,31043.55,-1,0,-15045.42
29/06/2018,SEP 18,31194.94,-1,0,-15035.33
02/07/2018,SEP 18,31194.94,-1,0,-14632.62
03/07/2018,SEP 18,31100.07,-1,0,-15009.08
04/07/2018,SEP 18,31039.51,-1,0,-15210.95
05/07/2018,SEP 18,30869.95,-1,0,-15092.85
06/07/2018,SEP 18,30775.07,-1,0,-15167.55
09/07/2018,SEP 18,31088.97,-1,0,-14819.33
10/07/2018,SEP 18,31230.27,-1,0,-14707.3
11/07/2018,SEP 18,30827.56,-1,0,-15094.87
12/07/2018,SEP 18,31109.15,-1,0,-14806.22
13/07/2018,SEP 18,31250.46,-1,0,-14868.79
16/07/2018,SEP 18,30962.8,-1,0,-15237.19
17/07/2018,OCT 18,30942.62,-1,0,-15358.3
18/07/2018,OCT 18,30908.3,-1,0,-15478.41
19/07/2018,OCT 18,30937.57,-1,2,-15558.15
20/07/2018,OCT 18,30922.43,1,0,15625.77
23/07/2018,OCT 18,30915.37,1,0,15375.46
24/07/2018,OCT 18,31119.25,1,0,14939.44
25/07/2018,OCT 18,31199.99,1,0,14853.65
26/07/2018,OCT 18,31300.92,1,0,14677.02
27/07/2018,OCT 18,31386.71,1,0,14641.7
30/07/2018,OCT 18,31495.72,1,0,14356.06
31/07/2018,OCT 18,31548.2,1,0,14471.12
01/08/2018,OCT 18,31290.83,1,0,14641.69
02/08/2018,OCT 18,31058.69,1,0,14767.86
03/08/2018,OCT 18,31053.64,1,0,14381.3
06/08/2018,OCT 18,30977.94,1,0,13839.3
07/08/2018,OCT 18,31028.41,1,0,13995.74
08/08/2018,OCT 18,30851.78,1,0,14268.25
09/08/2018,OCT 18,31019.32,1,0,14196.6
10/08/2018,OCT 18,30932.52,1,0,14535.72
13/08/2018,OCT 18,30826.55,1,0,14979.81
14/08/2018,NOV 18,30434.94,1,0,15098.91
15/08/2018,NOV 18,29817.24,1,0,15615.68
16/08/2018,NOV 18,30024.15,1,0,15474.37
17/08/2018,NOV 18,30120.03,1,0,15262.42
20/08/2018,NOV 18,30215.92,1,-2,15420.88
21/08/2018,NOV 18,30468.24,-1,-1,-14959.63
22/08/2018,NOV 18,30806.36,-2,0,-28940.24
23/08/2018,NOV 18,30533.85,-2,0,-29475.16
24/08/2018,NOV 18,30432.92,-2,0,-29666.92
28/08/2018,NOV 18,30498.52,-2,0,-29576.1
29/08/2018,NOV 18,30382.45,-2,0,-30232.14
30/08/2018,NOV 18,30636.8,-2,3,-29632.6
31/08/2018,NOV 18,30427.87,1,0,15065.61
03/09/2018,NOV 18,30276.48,1,1,15211.95
04/09/2018,NOV 18,30271.43,2,0,30383.54
05/09/2018,NOV 18,30266.38,2,0,30425.94
06/09/2018,NOV 18,30286.57,2,0,30343.16
07/09/2018,NOV 18,30498.52,2,0,29798.14
10/09/2018,NOV 18,30453.1,2,0,29677.02
11/09/2018,NOV 18,30493.48,2,0,29779.96
12/09/2018,NOV 18,30488.43,2,0,29899.06
13/09/2018,NOV 18,30463.2,2,0,29802.16
14/09/2018,NOV 18,30479.35,2,0,29705.28
17/09/2018,NOV 18,30458.15,2,0,29697.2
18/09/2018,DEC 18,30397.59,2,0,29767.86
19/09/2018,DEC 18,30291.61,2,0,30020.2
20/09/2018,DEC 18,30383.46,2,0,30058.54
21/09/2018,DEC 18,30437.96,2,0,29909.18
24/09/2018,DEC 18,30364.28,2,0,30127.18
25/09/2018,DEC 18,30331.99,2,0,30161.48
26/09/2018,DEC 18,30306.75,2,0,30211.96
27/09/2018,DEC 18,30281.52,2,0,30100.94
28/09/2018,DEC 18,30301.71,2,0,30242.22
01/10/2018,DEC 18,30412.73,2,0,30092.86
02/10/2018,DEC 18,30392.55,2,0,30625.76
03/10/2018,DEC 18,30427.87,2,0,30272.52
04/10/2018,DEC 18,30412.73,2,0,30335.1
05/10/2018,DEC 18,30412.73,2,0,30423.92
08/10/2018,DEC 18,30331.99,2,0,30349.22
